Company,Model,Engine Type,Engine Capacity,HorsePower,Top Speed (km/h),0-100 km/h (s),Price ($),Fuel Type,Seats,Torque (Nm),Transmission,Drive,Year,Fuel Efficiency (L/100km)
Kia,Chiron,Hybrid,4.0L,1151,245,5.9,275186,Petrol,7,1364,Manual,AWD,2017,14.4
Volvo,X5,Hybrid,82 kWh,178,174,6.4,173239,Hybrid,2,1345,Automatic,FWD,2023,7.6
Jaguar,Elantra,Electric,82 kWh,397,258,11.7,109527,Electric,5,313,Manual,RWD,2022,10.0
Volkswagen,Taycan,Hybrid,82 kWh,384,153,3.6,98337,Diesel,4,1015,Manual,RWD,2017,15.1
Mercedes,i8,Electric,82 kWh,768,153,5.1,87894,Hybrid,7,691,Single Speed,FWD,2016,11.7
BYD,Taycan,Petrol,82 kWh,850,279,7.2,78138,Electric,2,234,Single Speed,AWD,2019,18.8
Kia,F-Type,Diesel,1.5L,225,258,10.4,299732,Electric,5,853,Dual Clutch,RWD,2015,15.5
Peugeot,Corolla,Diesel,82 kWh,956,377,4.1,98038,Hybrid,4,485,Automatic,RWD,2018,12.6
Land Rover,Civic,Hybrid,1.5L,1095,173,5.1,153709,Hybrid,5,1426,Automatic,AWD,2022,18.1
Volkswagen,Taycan,Hybrid,82 kWh,827,308,3.1,284066,Petrol,2,1410,Manual,FWD,2015,14.3
Volkswagen,CX-5,Hybrid,4.0L,791,149,9.2,108697,Petrol,2,1312,Single Speed,RWD,2019,14.0
Suzuki,Corolla,Diesel,100 kWh,982,261,4.8,190793,Petrol,2,1420,Single Speed,FWD,2018,7.2
BYD,Leaf,Petrol,82 kWh,940,284,6.2,267097,Diesel,7,488,Automatic,FWD,2020,9.7
Audi,Tiguan,Petrol,2.0L,82,362,6.7,215015,Hybrid,2,1582,Dual Clutch,FWD,2021,14.6
Mercedes,Ioniq 6,Diesel,82 kWh,677,396,11.0,139338,Electric,4,843,Single Speed,FWD,2023,18.2
Suzuki,Civic,Petrol,82 kWh,567,143,6.4,42843,Hybrid,7,1384,Dual Clutch,RWD,2015,8.4
Tesla,Focus,Diesel,4.0L,307,245,3.9,155118,Electric,5,803,Automatic,AWD,2024,6.7
